threshold,take_profit,stop_loss,signal_count,win_rate,avg_pnl,total_pnl,profit_factor,loss_count,timeout_count
0.7,3000,2000,60,0.8333333333333334,8.333333333333334,500.0,1.0204081632653061,3,7
0.7,5000,1500,60,0.45,8.333333333333334,500.0,1.007173601147776,10,23
0.6,4000,2000,68,0.5882352941176471,-5.147058823529412,-350.0,0.9943135662063363,5,23
0.8,4000,1500,36,0.6111111111111112,-51.388888888888886,-1850.0,0.9472182596291013,6,8
0.6,3000,2500,68,0.8088235294117647,-25.735294117647058,-1750.0,0.9401709401709402,1,12
0.8,3500,1500,36,0.7222222222222222,-76.38888888888889,-2750.0,0.9043478260869565,6,4
0.7,4500,1500,60,0.5,-115.0,-6900.0,0.8986784140969163,10,20
0.6,3500,2000,68,0.6764705882352942,-106.61764705882354,-7250.0,0.8651162790697674,5,17
0.7,4000,1500,60,0.5333333333333333,-264.1666666666667,-15850.0,0.7563412759415834,10,18
0.6,5000,1500,68,0.39705882352941174,-360.29411764705884,-24500.0,0.7412882787750792,15,26
0.6,4500,1500,68,0.45588235294117646,-432.3529411764706,-29400.0,0.6825053995680346,15,22
0.7,3500,1500,60,0.6333333333333333,-312.5,-18750.0,0.6724890829694323,10,12
0.6,3000,2000,68,0.7794117647058824,-227.94117647058823,-15500.0,0.6309523809523809,5,10
0.8,5000,1000,36,0.3611111111111111,-651.3888888888889,-23450.0,0.5914634146341463,14,9
0.7,5000,1000,60,0.3333333333333333,-645.8333333333334,-38750.0,0.576271186440678,20,20
0.6,4000,1500,68,0.4852941176470588,-571.3235294117648,-38850.0,0.5661641541038526,15,20
0.8,4500,1000,36,0.4166666666666667,-711.1111111111111,-25600.0,0.5412186379928315,14,7
0.7,4500,1000,60,0.38333333333333336,-710.8333333333334,-42650.0,0.525319977740679,20,17
0.6,3500,1500,68,0.5735294117647058,-621.3235294117648,-42250.0,0.4831804281345566,15,14
0.8,3000,1500,36,0.75,-423.6111111111111,-15250.0,0.46956521739130436,6,3
0.6,5000,1000,68,0.29411764705882354,-900.7352941176471,-61250.0,0.46248354541465553,25,23
0.7,4000,1000,60,0.4166666666666667,-801.6666666666666,-48100.0,0.44585253456221197,20,15
0.8,4000,1000,36,0.4444444444444444,-843.0555555555555,-30350.0,0.44362969752520626,14,6
0.6,4500,1000,68,0.35294117647058826,-921.3235294117648,-62650.0,0.43987483236477426,25,19
0.7,3000,1500,60,0.7166666666666667,-491.6666666666667,-29500.0,0.4215686274509804,10,7
0.7,3500,1000,60,0.5,-862.5,-51750.0,0.3708206686930091,20,10
0.6,4000,1000,68,0.38235294117647056,-1008.8235294117648,-68600.0,0.3694852941176471,25,17
0.8,3500,1000,36,0.5277777777777778,-902.7777777777778,-32500.0,0.36893203883495146,14,3
0.6,3500,1000,68,0.45588235294117646,-1069.8529411764705,-72750.0,0.302158273381295,25,12
0.6,3000,1500,68,0.6470588235294118,-786.7647058823529,-53500.0,0.2913907284768212,15,9
0.7,3000,1000,60,0.6,-895.8333333333334,-53750.0,0.2508710801393728,18,6
0.8,3000,1000,36,0.5833333333333334,-1041.6666666666667,-37500.0,0.21875,13,2
0.6,3000,1000,68,0.5441176470588235,-1106.6176470588234,-75250.0,0.19733333333333333,23,8
0.7,2500,2500,60,0.9833333333333333,-37.5,-2250.0,0.0,0,1
0.8,2500,2500,36,0.9722222222222222,-62.5,-2250.0,0.0,0,1
0.6,2500,2500,68,0.9558823529411765,-132.35294117647058,-9000.0,0.0,1,2
0.7,2500,2000,60,0.9333333333333333,-262.5,-15750.0,0.0,3,1
0.8,2500,2000,36,0.9166666666666666,-312.5,-11250.0,0.0,2,1
0.6,2500,2000,68,0.8970588235294118,-389.70588235294116,-26500.0,0.0,5,2
0.7,2500,1500,60,0.8166666666666667,-704.1666666666666,-42250.0,0.0,10,1
0.8,2500,1500,36,0.8055555555555556,-729.1666666666666,-26250.0,0.0,6,1
0.6,2500,1500,68,0.7647058823529411,-882.3529411764706,-60000.0,0.0,14,2
0.7,2500,1000,60,0.7,-1050.0,-63000.0,0.0,18,0
0.6,2500,1000,68,0.6617647058823529,-1158.0882352941176,-78750.0,0.0,22,1
0.8,2500,1000,36,0.6388888888888888,-1263.888888888889,-45500.0,0.0,13,0
