datetime,open,high,low,close,volume,change_rate,volume_diff,ema8,ema8_distance,typical_price,vwap,vwap_distance,volume_ma5,volume_ratio,prev_close,tr1,tr2,tr3,tr,atr14,ma5,ma20,above_vwap,above_ema8,volume_spike,body,upper_shadow,lower_shadow,day_position
2026-06-10 10:55:00,307000.0,307500.0,307000.0,307000.0,9382134.0,-4.66,128915.0,307613.56579205295,-613.5657920529484,307166.6666666667,347204.9854631604,-40204.98546316038,180811.0,0.7129820641443275,307000.0,500.0,500.0,0.0,500.0,1589.2857142857142,307700.0,307937.5,0,0,0,0.0,500.0,0.0,0.22839506172839505
2026-06-10 11:00:00,306500.0,306750.0,306250.0,306250.0,9612342.0,-4.89,230208.0,307310.55117159674,-1060.551171596744,306416.6666666667,347584.27276626613,-41334.272766266135,177976.4,1.2934748652068477,307000.0,500.0,250.0,750.0,750.0,1571.4285714285713,307150.0,307675.0,0,0,0,250.0,250.0,0.0,0.2191358024691358
2026-06-10 11:05:00,306250.0,306250.0,305750.0,305750.0,9779934.0,-5.05,167592.0,306963.762022353,-1213.7620223530103,305916.6666666667,347868.26988501684,-42118.26988501684,176016.8,0.9521363869812428,306250.0,500.0,0.0,500.0,500.0,1535.7142857142858,306850.0,307437.5,0,0,0,500.0,0.0,0.0,0.21296296296296297
2026-06-10 11:10:00,305750.0,306500.0,305000.0,305000.0,10086437.0,-5.28,306503.0,306527.3704618301,-1527.3704618301126,305500.0,348403.0621541014,-43403.06215410138,203278.6,1.5077976727505993,305750.0,1500.0,750.0,750.0,1500.0,1500.0,306200.0,307287.5,0,0,1,750.0,750.0,0.0,0.2037037037037037
2026-06-10 11:15:00,305250.0,305500.0,305000.0,305000.0,10503874.0,-5.28,417437.0,306187.95480364567,-1187.954803645669,305166.6666666667,349159.3392503098,-44159.3392503098,250131.0,1.668873510280613,305000.0,500.0,500.0,0.0,500.0,1446.4285714285713,305800.0,307112.5,0,0,1,250.0,250.0,0.0,0.2037037037037037
2026-06-10 11:20:00,305000.0,305000.0,304250.0,304500.0,10751686.0,-5.43,247812.0,305812.8537361688,-1312.8537361688213,304583.3333333333,349627.0714669216,-45127.071466921596,273910.4,0.9047192074488591,305000.0,750.0,0.0,750.0,750.0,1357.142857142857,305300.0,307012.5,0,0,0,500.0,0.0,250.0,0.19753086419753085
2026-06-10 11:25:00,304000.0,305000.0,303500.0,305000.0,11010933.0,-5.28,259247.0,305632.21957257576,-632.2195725757629,304500.0,350127.93376423256,-45127.933764232555,279718.2,0.9268149158688994,304500.0,1500.0,500.0,1000.0,1500.0,1303.5714285714287,305050.0,306925.0,0,0,0,1000.0,0.0,500.0,0.2037037037037037
2026-06-10 11:30:00,305000.0,305250.0,304000.0,304000.0,11195892.0,-5.59,184959.0,305269.5041120034,-1269.5041120033711,304416.6666666667,350492.7875260533,-46492.78752605332,283191.6,0.6531231858572076,305000.0,1250.0,250.0,1000.0,1250.0,1178.5714285714287,304700.0,306800.0,0,0,0,1000.0,250.0,0.0,0.19135802469135801
2026-06-10 11:35:00,303500.0,305000.0,303500.0,304500.0,11322602.0,-5.43,126710.0,305098.5031982248,-598.5031982248183,304333.3333333333,350746.5765922406,-46246.5765922406,247233.0,0.5125124882196147,304000.0,1500.0,1000.0,500.0,1500.0,1196.4285714285713,304600.0,306700.0,0,0,0,1000.0,500.0,0.0,0.19753086419753085
2026-06-10 11:40:00,304000.0,305000.0,304000.0,305000.0,11530385.0,-5.28,207783.0,305076.6135986193,-76.61359861929668,304666.6666666667,351165.8104216467,-46165.81042164669,205302.2,1.0120836503456854,304500.0,1000.0,500.0,500.0,1000.0,1178.5714285714287,304600.0,306575.0,0,0,0,1000.0,0.0,0.0,0.2037037037037037
2026-06-10 11:45:00,305000.0,305500.0,305000.0,305500.0,11627815.0,-5.12,97430.0,305170.6994655928,329.30053440720076,305333.3333333333,351362.1724050446,-45862.17240504461,175225.8,0.5560254254795812,305000.0,500.0,500.0,0.0,500.0,1089.2857142857142,304800.0,306450.0,0,1,0,500.0,0.0,0.0,0.20987654320987653
2026-06-10 11:50:00,306000.0,306000.0,304500.0,304500.0,11779825.0,-5.43,152010.0,305021.6551399055,-521.655139905517,305000.0,351674.1619678705,-47174.16196787049,153778.4,0.9885003355477753,305500.0,1500.0,500.0,1000.0,1500.0,1071.4285714285713,304700.0,306275.0,0,0,0,1500.0,0.0,0.0,0.19753086419753085
2026-06-10 11:55:00,304750.0,305500.0,304750.0,305000.0,11883393.0,-5.28,103568.0,305016.8428865932,-16.842886593192816,305083.3333333333,351888.76009528525,-46888.76009528525,137500.2,0.7532207225880398,304500.0,750.0,1000.0,250.0,1000.0,1035.7142857142858,304900.0,306025.0,0,0,0,250.0,500.0,0.0,0.2037037037037037
2026-06-10 12:00:00,305000.0,306000.0,305000.0,305500.0,12017714.0,-5.12,134321.0,305124.2111340169,375.7888659830787,305500.0,352167.53823265247,-46667.53823265247,139022.4,0.9661824281554627,305000.0,1000.0,1000.0,0.0,1000.0,982.1428571428571,305100.0,305950.0,0,1,0,500.0,500.0,0.0,0.20987654320987653
2026-06-10 12:05:00,306250.0,307000.0,306250.0,307000.0,12149334.0,-4.66,131620.0,305541.0531042354,1458.9468957646168,306750.0,352436.57555017626,-45436.57555017626,123789.8,1.0632539999256805,305500.0,750.0,1500.0,750.0,1500.0,1053.5714285714287,305500.0,305912.5,0,1,0,750.0,0.0,0.0,0.22839506172839505
2026-06-10 12:10:00,306500.0,307000.0,306500.0,306500.0,12255265.0,-4.81,105931.0,305754.1524144053,745.847585594689,306666.6666666667,352655.8285855929,-46155.82858559291,125490.0,0.8441389752171488,307000.0,500.0,0.0,500.0,500.0,1035.7142857142858,305700.0,305875.0,0,1,0,0.0,500.0,0.0,0.2222222222222222
2026-06-10 12:15:00,307000.0,308000.0,307000.0,307500.0,12433147.0,-4.5,177882.0,306142.11854453746,1357.8814554625424,307500.0,353022.00968586013,-45522.00968586013,130664.4,1.3613654522578453,306500.0,1000.0,1500.0,500.0,1500.0,1107.142857142857,306300.0,305800.0,0,1,0,500.0,500.0,0.0,0.2345679012345679
2026-06-10 12:20:00,306500.0,307000.0,306500.0,306750.0,12551805.0,-4.74,118658.0,306277.203312418,472.79668758198386,306750.0,353273.6737065871,-46523.67370658711,133682.4,0.887611233789938,307500.0,500.0,500.0,1000.0,1000.0,1071.4285714285713,306650.0,305775.0,0,1,0,250.0,250.0,0.0,0.22530864197530864
2026-06-10 12:25:00,306500.0,306500.0,305500.0,306000.0,12655886.0,-4.97,104081.0,306215.6025763251,-215.60257632512366,306000.0,353500.28073582763,-47500.28073582763,127634.4,0.8154619757682882,306750.0,1000.0,250.0,1250.0,1250.0,1125.0,306750.0,305662.5,0,0,0,500.0,0.0,500.0,0.21604938271604937
2026-06-10 12:30:00,305000.0,305500.0,305000.0,305250.0,12824655.0,-5.2,168769.0,306001.0242260306,-751.0242260306259,305250.0,353878.2564912211,-48628.25649122108,135064.2,1.2495465119550553,306000.0,500.0,500.0,1000.0,1000.0,1142.857142857143,306400.0,305575.0,0,0,0,250.0,250.0,0.0,0.20679012345679013
2026-06-10 12:35:00,305250.0,305250.0,304750.0,305000.0,12948972.0,-5.28,124317.0,305778.57439802383,-778.574398023833,305000.0,354161.9379408288,-49161.93794082879,138741.4,0.896033916336436,305250.0,500.0,0.0,500.0,500.0,1071.4285714285713,306100.0,305475.0,0,0,0,250.0,0.0,250.0,0.2037037037037037
2026-06-10 12:40:00,305000.0,305000.0,304250.0,304250.0,13119257.0,-5.51,170285.0,305438.891198463,-1188.8911984629813,304500.0,354559.9086940473,-50309.908694047306,137222.0,1.2409453294661206,305000.0,750.0,0.0,750.0,750.0,1035.7142857142858,305450.0,305375.0,0,0,0,750.0,0.0,0.0,0.19444444444444445
2026-06-10 12:45:00,304000.0,304500.0,303500.0,303500.0,13314979.0,-5.75,195722.0,305008.0264876934,-1508.0264876934234,303833.3333333333,355031.47738535923,-51531.477385359234,152634.8,1.2822894909941902,304250.0,1000.0,250.0,750.0,1000.0,1000.0,304800.0,305262.5,0,0,0,500.0,500.0,0.0,0.18518518518518517
2026-06-10 12:50:00,303750.0,303750.0,303000.0,303750.0,13650405.0,-5.67,335426.0,304728.4650459838,-978.4650459837867,303500.0,355865.7613971815,-52115.761397181486,198903.8,1.6863730104703882,303500.0,750.0,250.0,500.0,750.0,982.1428571428571,304350.0,305200.0,0,0,1,0.0,0.0,750.0,0.1882716049382716
2026-06-10 12:55:00,303500.0,303750.0,303000.0,303250.0,13839025.0,-5.82,188620.0,304399.91725798737,-1149.9172579873702,303333.3333333333,356348.41076822823,-53098.410768228234,202874.0,0.9297396413537466,303750.0,750.0,0.0,750.0,750.0,1000.0,303950.0,305112.5,0,0,0,250.0,250.0,250.0,0.18209876543209877
